name,place,owner,content
東京大学フラメンコ舞踏団五月祭公演,工学部広場ステージ,フラメンコ舞踏団,パフォーマンス/ダンス
乗鞍流！ふわふわかき氷,農学部1号館前A5,乗鞍サマースクール,飲食/スイーツ
遊んで学ぶ！法律教室,法文1号館(西),法律相談所,学術/体験
五月寄席,理学部1号館,落語研究会,パフォーマンス/ショー
東大POMP ステージライブ,セントラルステージ,POMP,音楽/バンド
Qué kebab,正赤通りF1,理科二・三類7組,飲食/お食事系
牛串Lovers,中央通りA3,スポーツ愛好会硬式テニスパート,飲食/軽食
フリスビーでストラックアウト！,図書館広場1,Skywalkers,エンタメ/ゲーム、パズル
東大つくラボ「Blue Kebab」,中央通りA5,トルコ文化同好会,飲食/お食事系
Fish & Cheers!,銀杏並木D3,YMCA寮,飲食/お食事系
パズル博物館,ガラス棟,ペンシルパズル同好会,エンタメ/ゲーム、パズル
五月祭合唱祭,安田講堂,合唱団連盟,音楽/合唱
小さな月経博物館,医学部広場C4,Aile for Period,学術/展示
南国ジュース＆サワー,工学部広場G8,海洋研究会,飲食/飲み物
時代錯誤社,中央通りC1,時代錯誤社,エンタメ/展示
名曲喫茶,法文1号館(西),フィロムジカ交響楽団喫茶班,音楽/楽器演奏
エレクトーンコンサート2026,国際学術総合研究棟,エレクトーンクラブ,音楽/楽器演奏
ユータートル・トーク,教育学部棟,J-CAD,飲食/軽食
襖張り替え実演,工学部3号館,襖クラブ,パフォーマンス/ショー
NSR from 富山,正門,自転車部旅行班,パフォーマンス/スポーツ、武道
書道パフォーマンス,工学部広場ステージ,書道研究会,パフォーマンス/ショー
串や河童,中央通りB5,水泳部,飲食/軽食
メロンパンアイスをパンパンに食べるかい？,中央通りF5,パンをパンパンに食べる会,飲食/スイーツ
岐阜県学寮五平餅,医学部広場C3,岐阜県学寮,飲食/お食事系
Link Start!,工学部1号館,VRサークルUT-virtual,エンタメ/工作、体験
薬学部の扉を開こう！,薬学部棟,薬学部,学術/体験
わかる！無線通信,工学部2号館,アマチュア無線クラブ,学術/体験
鉱物化石体験館,理学部1号館,地文研究会地質部,学術/展示
寄り道アメリカンドッグ,工学部広場F4,理科二・三類15組,飲食/軽食
AR金魚すくい,工学部5号館,11時03分駅前集合,エンタメ/ゲーム、パズル
どえりゃーうみゃー味噌串カツ,図書館通りC6,愛知学生会館,飲食/軽食
クセになってんだアイス揚げるの,農学部2号館前B1,スカッシュサークル,飲食/スイーツ
医学部水泳部性格占いの館,医学部広場C5,鉄門水泳部,学術/体験
芋の強制振動,正赤通りC4,理科一類29組,飲食/軽食
合唱喫茶 Green Echo,工学部1号館,緑会合唱団,音楽/合唱
ラクロス部五月祭試合,御殿下グラウンド,ラクロス部,パフォーマンス/スポーツ、武道
Acclament’26,セントラルステージ,Acclament,音楽/バンド
Magic Café,理学部1号館東棟3階380講義室,奇術愛好会,パフォーマンス/ショー
東大で点字体験,工学部2号館,点友会,学術/体験
運動会合気道部五月祭演武会,七徳堂,合気道部,パフォーマンス/スポーツ、武道
U.T.O.,伊藤門横丁2,理科二・三類18組,飲食/お食事系
